service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EN_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
EN_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
EN_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
EN_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
EN_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
EN_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
FB_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
FB_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
FB_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
FB_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
FB_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
FB_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
FP_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
FP_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
FP_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
FP_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
FP_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
FP_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
GA_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
GA_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
GA_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
GA_A6-Saturday-BM,0,0,0,0,1,0,0,20160108,20160401
GA_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
GA_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
GA_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
JG_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
JG_A6-Sunday-BM,0,0,0,0,0,1,0,20160102,20160326
JG_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
JG_A6-Weekday-SDon-BM,1,1,1,1,0,0,1,20160103,20160331
JG_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
JG_A6-Saturday-BM,0,0,0,0,1,0,0,20160108,20160401
JG_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
JG_H6-Weekday-BM,1,1,1,1,0,0,1,20160117,20160117
JG_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
JG_A6-Weekday-BM,1,1,1,1,0,0,1,20160207,20160218
JG_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
JG_J6-Weekday-BM,1,1,1,1,0,0,1,20160324,20160324
UP_A6-Sunday,0,0,0,0,0,0,1,20160103,20160327
UP_A6-Weekday-SDon,1,1,1,1,1,0,0,20160104,20160401
UP_A6-Saturday,0,0,0,0,0,1,0,20160109,20160402
UP_H6-Weekday,1,1,1,1,1,0,0,20160118,20160118
UP_A6-Weekday,1,1,1,1,1,0,0,20160208,20160219
UP_J6-Weekday,1,1,1,1,1,0,0,20160325,20160325
